variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_80x80_1,generated 80*80,1.700000,10,80,80,289,40.125185,40.123550,40.054561,40.232789,97067914,97063958,96897066,97328222,15166.861563,0.159501,0.138287,63397764.600000,487936.000000,0.007696,78.800000,29.000000,0.368020,21881054.600000,23492.600000,0.001074,268353029.600000,2.764590
gen_81x81_1,generated 81*81,1.700000,10,81,81,289,41.129680,41.127878,41.100871,41.177200,99497817,99493457,99428125,99612774,15165.038409,0.159520,0.138304,65010471.700000,500688.200000,0.007702,82.100000,37.900000,0.461632,22436084.700000,23877.800000,0.001064,275176957.700000,2.765658
gen_82x82_1,generated 82*82,1.700000,10,82,82,289,42.171355,42.171856,42.099567,42.280858,102017980,102019194,101844317,102282884,15172.215943,0.159445,0.138239,66643434.400000,512860.200000,0.007696,84.300000,37.000000,0.438909,22998066.400000,24066.000000,0.001046,282086565.400000,2.765067
gen_83x83_1,generated 83*83,1.700000,10,83,83,289,43.203689,43.205529,43.186354,43.228656,104515249,104519699,104473312,104575646,15171.323704,0.159454,0.138247,68296652.900000,525478.300000,0.007694,86.500000,27.700000,0.320231,23566999.900000,24356.200000,0.001033,289081852.900000,2.765930
gen_84x84_1,generated 84*84,1.700000,10,84,84,289,44.265619,44.258101,44.216759,44.362430,107084659,107066472,106966460,107318858,15176.397251,0.159401,0.138201,69970129.200000,538147.400000,0.007691,82.700000,41.800000,0.505441,24142887.200000,24649.900000,0.001021,296162822.200000,2.765689
gen_85x85_1,generated 85*85,1.700000,10,85,85,289,45.383547,45.363174,45.301549,45.561782,109787883,109738598,109589520,110219053,15195.554740,0.159199,0.138025,71663861.900000,552038.100000,0.007703,93.800000,35.800000,0.381663,24725726.900000,24992.100000,0.001011,303329471.900000,2.762868
gen_86x86_1,generated 86*86,1.700000,10,86,86,289,46.389077,46.391879,46.351401,46.437120,112221008,112227785,112129865,112337229,15173.202812,0.159434,0.138229,73377846.900000,564897.000000,0.007698,83.400000,27.400000,0.328537,25315514.900000,25212.800000,0.000996,310581797.900000,2.767591
gen_87x87_1,generated 87*87,1.700000,10,87,87,289,47.509977,47.511331,47.485462,47.538108,114932602,114935879,114873298,115000655,15184.648170,0.159314,0.138125,75112090.200000,578358.100000,0.007700,91.100000,40.500000,0.444566,25912257.200000,25513.100000,0.000985,317919806.200000,2.766141
gen_88x88_1,generated 88*88,1.700000,10,88,88,289,48.607674,48.598259,48.555567,48.684633,117588054,117565280,117462001,117774230,15184.407800,0.159316,0.138127,76866590.600000,591901.900000,0.007700,93.100000,31.500000,0.338346,26515952.600000,25889.700000,0.000976,325343495.600000,2.766807
gen_89x89_1,generated 89*89,1.700000,10,89,89,289,49.759281,49.757943,49.731843,49.797728,120374211,120370977,120307836,120467222,15196.845222,0.159186,0.138015,78641498.300000,605242.600000,0.007696,110.800000,44.700000,0.403430,27126761.300000,26096.400000,0.000962,332853407.400000,2.765155
gen_90x90_1,generated 90*90,1.700000,10,90,90,289,50.865562,50.860985,50.848842,50.923671,123050559,123039487,123010111,123191131,15191.427037,0.159243,0.138064,80436510.000000,619327.600000,0.007700,99.500000,42.800000,0.430151,27744360.000000,26457.200000,0.000954,340448456.100000,2.766736
gen_91x91_1,generated 91*91,1.700000,10,91,91,289,52.031128,52.032158,51.959540,52.106676,125870009,125872499,125696828,126052768,15199.856177,0.159155,0.137987,82251778.500000,633557.300000,0.007703,124.600000,53.900000,0.432584,28368911.500000,26685.300000,0.000941,348129185.500000,2.765783
