variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_130x130_1,generated 130*130,6.700000,5,130,130,289,34.699974,34.727217,34.521306,34.847975,83948810,84014719,83516564,84306866,4967.385207,0.487032,0.422257,40628367.400000,490199.400000,0.012065,5454239.800000,215.800000,29527067.000000,23.600000,0.000001,5465297.400000,137.800000,0.000025,203.000000,92.600000,0.456158,2.400000,0.000000,0.000000,17.200000,0.000000,40.400000,6479243.800000,50114.400000,0.007735,96417039.200000,1.148522
gen_133x133_1,generated 133*133,6.700000,5,133,133,289,37.036668,37.024906,36.885044,37.163679,89602330,89573873,89235508,89909605,5065.426536,0.477608,0.414086,46875403.200000,567805.200000,0.012113,5362590.000000,309.200000,29139903.800000,24.200000,0.000001,5354172.400000,71.000000,0.000013,211.800000,103.000000,0.486308,19.000000,5.800000,0.305263,17.000000,0.000000,43.000000,7662370.600000,59122.000000,0.007716,111822912.800000,1.247991
gen_136x136_1,generated 136*136,6.700000,5,136,136,289,37.656928,37.677854,37.525625,37.797254,91104762,91155389,90787095,91444258,4925.646734,0.491171,0.425845,50086571.400000,606032.400000,0.012100,5527141.400000,132.000000,29820842.200000,15.000000,0.000001,5521638.400000,2.600000,0.000000,218.000000,108.200000,0.496330,23.600000,7.400000,0.313559,4.200000,0.000000,10.800000,8132207.800000,59381.400000,0.007302,115452603.000000,1.267251
gen_139x139_1,generated 139*139,6.700000,5,139,139,289,40.313992,40.327840,40.165310,40.483858,97530744,97564247,97171041,97941698,5047.913876,0.479263,0.415521,52885523.200000,670707.000000,0.012682,6113133.200000,212.200000,29183405.600000,13.400000,0.000000,5378916.200000,5.800000,0.000001,251.000000,111.200000,0.443028,13.600000,8.000000,0.588235,4.000000,0.000000,11.400000,8037262.600000,56789.400000,0.007066,112680171.400000,1.155330
gen_142x142_1,generated 142*142,6.700000,5,142,142,289,41.221208,41.205657,41.117861,41.364427,99725697,99688075,99475671,100072184,4945.729865,0.489166,0.424107,55146769.600000,669274.000000,0.012136,6541780.400000,229.800000,29740044.800000,12.200000,0.000000,5937074.400000,4.400000,0.000001,269.200000,108.800000,0.404160,11.600000,3.400000,0.293103,2.600000,0.000000,11.800000,8599561.800000,59790.000000,0.006953,122971714.800000,1.233100
gen_145x145_1,generated 145*145,6.700000,5,145,145,289,43.556808,43.574894,43.470500,43.651375,105375670,105419426,105166867,105604453,5011.922473,0.482703,0.418503,52272460.200000,664225.000000,0.012707,7239299.200000,126.800000,34409571.600000,11.600000,0.000000,5467458.600000,2.200000,0.000000,275.000000,104.400000,0.379636,17.200000,18.000000,1.046512,10.400000,0.000000,12.400000,8098569.200000,54700.800000,0.006754,113390930.000000,1.076064
gen_148x148_1,generated 148*148,6.700000,5,148,148,289,44.642908,44.596204,44.559287,44.871434,108003524,107890534,107801222,108556391,4930.767166,0.490649,0.425393,54359700.000000,690253.800000,0.012698,7344899.000000,170.400000,37130347.400000,16.600000,0.000000,5965901.600000,3.200000,0.000001,272.400000,109.800000,0.403084,12.200000,12.800000,1.049180,7.600000,0.000000,12.800000,8255653.200000,54757.800000,0.006633,115522442.600000,1.069617
gen_151x151_1,generated 151*151,6.700000,5,151,151,289,47.195963,47.241718,47.007834,47.296346,114179606,114290300,113724472,114422459,5007.657822,0.483113,0.418859,56466624.400000,686447.200000,0.012157,7230172.800000,225.800000,39056771.600000,17.400000,0.000000,7202777.400000,6.800000,0.000001,287.000000,142.200000,0.495470,14.600000,0.000000,0.000000,3.600000,0.000000,13.400000,9127746.400000,60393.600000,0.006616,133200784.200000,1.166590
gen_154x154_1,generated 154*154,6.700000,5,154,154,289,48.397602,48.402263,48.279930,48.477678,117087195,117098472,116802514,117280922,4937.054942,0.490024,0.424851,60933948.000000,739051.800000,0.012129,7307185.600000,235.400000,39791488.600000,13.400000,0.000000,7335505.400000,2.000000,0.000000,307.800000,129.000000,0.419103,13.800000,7.800000,0.565217,2.600000,0.000000,13.800000,9877998.400000,64760.400000,0.006556,147513471.600000,1.259860
gen_157x157_1,generated 157*157,6.700000,5,157,157,289,51.555179,50.999317,50.716513,53.504818,124726327,123381543,122697361,129443047,5060.096840,0.478109,0.414521,66472346.800000,777299.000000,0.011694,7138779.400000,190.400000,41203171.200000,15.000000,0.000000,7671964.000000,3.400000,0.000000,314.200000,134.200000,0.427116,12.400000,8.800000,0.709677,7.000000,0.000000,14.400000,10711845.400000,69720.000000,0.006509,159832938.400000,1.281469
